# epoch_wall_clock_ns=1787814270526139552
model,frame_idx,phase,begin_us,end_us,dur_ms,enqueue_ms,ok
pose,10,prep,1607226.387,1611191.382,3.965,,1
pose,10,infer,1611193.568,1636567.946,25.374,0.142,1
pose,11,prep,1636651.446,1641213.237,4.562,,1
pose,11,infer,1641215.200,1668128.594,26.913,0.151,1
pose,12,prep,1668314.020,1674662.198,6.348,,1
pose,12,infer,1674664.291,1701986.852,27.323,0.146,1
pose,13,prep,1702067.963,1707018.716,4.951,,1
pose,13,infer,1707020.605,1732110.613,25.090,0.148,1
pose,14,prep,1732188.391,1736343.905,4.156,,1
pose,14,infer,1736346.386,1761682.561,25.336,0.148,1
pose,15,prep,1761765.042,1767775.961,6.011,,1
pose,15,infer,1767778.461,1794071.542,26.293,0.151,1
pose,16,prep,1794164.745,1798125.833,3.961,,1
pose,16,infer,1798127.778,1824452.673,26.325,0.150,1
pose,17,prep,1824532.525,1829142.390,4.610,,1
pose,17,infer,1829144.649,1852784.567,23.640,0.154,1
pose,18,prep,1852860.937,1860465.206,7.604,,1
pose,18,infer,1860467.335,1889153.969,28.687,0.152,1
pose,19,prep,1889238.358,1892902.094,3.664,,1
pose,19,infer,1892904.039,1920468.896,27.565,0.143,1
pose,20,prep,1920542.766,1923265.467,2.723,,1
pose,20,infer,1923266.874,1948529.715,25.263,0.143,1
pose,21,prep,1948567.789,1953576.543,5.009,,1
pose,21,infer,1953579.265,1980202.068,26.623,0.145,1
pose,22,prep,1980281.605,1986504.060,6.222,,1
pose,22,infer,1986507.153,2012008.290,25.501,0.149,1
pose,23,prep,2012085.012,2015147.546,3.063,,1
pose,23,infer,2015149.879,2040339.072,25.189,0.141,1
pose,24,prep,2040353.035,2044192.661,3.840,,1
pose,24,infer,2044195.475,2071053.722,26.858,0.142,1
pose,25,prep,2071257.370,2076515.790,5.258,,1
pose,25,infer,2076518.660,2103664.981,27.146,0.152,1
pose,26,prep,2103746.814,2108055.902,4.309,,1
pose,26,infer,2108058.976,2135399.222,27.340,0.153,1
pose,27,prep,2135483.407,2140226.068,4.743,,1
pose,27,infer,2140228.216,2166578.390,26.350,0.147,1
pose,28,prep,2166659.630,2171352.458,4.693,,1
pose,28,infer,2171355.088,2198494.557,27.139,0.151,1
pose,29,prep,2198580.556,2203968.310,5.388,,1
pose,29,infer,2203970.606,2229100.762,25.130,0.152,1
pose,30,prep,2229182.169,2234843.070,5.661,,1
pose,30,infer,2234845.792,2260613.966,25.768,0.153,1
pose,31,prep,2260697.355,2266264.164,5.567,,1
pose,31,infer,2266266.552,2292812.022,26.545,0.168,1
pose,32,prep,2292891.948,2296355.258,3.463,,1
pose,32,infer,2296357.944,2322079.340,25.721,0.146,1
pose,33,prep,2322160.895,2326672.538,4.512,,1
