run_id,use_det,use_seg,use_pose,batch,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,switches_per_s,idle_time_pct,run_time_s,avg_fps_det,avg_latency_det,max_latency_det,activation_det,avg_fps_seg,avg_latency_seg,max_latency_seg,activation_seg,avg_fps_pose,avg_latency_pose,max_latency_pose,activation_pose,total_time_det_s,total_time_seg_s,total_time_pose_s,avg_preprocess_ms_det,avg_preprocess_ms_seg,avg_preprocess_ms_pose,postprocess_ms_det,postprocess_ms_seg,postprocess_ms_pose,total_time_ms_det,total_time_ms_seg,total_time_ms_pose
3,0,0,1,32,1,1,1,0,16,16,16,NaN,NaN,1751.09,28.1153,14.9974,5461,365,96.3092,1.5320,0.0020,13.7225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.7820,546.9040,1024.8580,0.6200,NaN,NaN,13.7095,NaN,NaN,5.79732,NaN,NaN,0.177673,NaN,NaN,1757.06
1,1,0,0,63,1,1,1,0,16,16,16,3004.06,NaN,NaN,21.4863,17.5959,732,471,95.3783,1.0470,0.0020,12.442,48.3020,1090.1320,1386.8510,0.8650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.4299,NaN,NaN,5.92779,NaN,NaN,0.0271765,NaN,NaN,3010.02,NaN,NaN
2,1,0,0,63,1,1,1,0,16,16,16,3015.56,NaN,NaN,21.4156,17.6967,725,423,95.2142,1.0430,0.0020,12.4857,48.1320,1091.5070,1395.0770,0.8720,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.4737,NaN,NaN,5.94842,NaN,NaN,0.0255847,NaN,NaN,3021.53,NaN,NaN
3,1,0,0,63,1,1,1,0,16,16,16,3026.41,NaN,NaN,20.927,17.7724,775,421,95.4050,1.0390,0.0020,12.5299,47.9630,1111.6790,1420.0100,0.8340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.5179,NaN,NaN,5.90008,NaN,NaN,0.0272616,NaN,NaN,3032.34,NaN,NaN
1,0,1,0,63,1,1,1,0,16,16,16,NaN,9867.52,NaN,41.7301,20.2392,6226,3201,85.6212,6.3340,0.0010,31.0626,NaN,NaN,NaN,NaN,19.3460,5429.6640,7014.5530,0.3630,NaN,NaN,NaN,NaN,NaN,31.0294,NaN,NaN,7.37853,NaN,NaN,44.6862,NaN,NaN,9919.59,NaN
2,0,1,0,63,1,1,1,0,16,16,16,NaN,10075.6,NaN,41.7425,20.2691,6244,3208,83.9248,6.3100,0.0010,31.5612,NaN,NaN,NaN,NaN,18.8960,5511.0960,7170.9390,0.3890,NaN,NaN,NaN,NaN,NaN,31.5293,NaN,NaN,7.00192,NaN,NaN,44.9916,NaN,NaN,10127.6,NaN
3,0,1,0,63,1,1,1,0,16,16,16,NaN,9887.58,NaN,41.2079,20.1739,6209,3330,84.7800,6.3120,0.0010,31.0414,NaN,NaN,NaN,NaN,19.3110,5425.6160,6977.6470,0.3660,NaN,NaN,NaN,NaN,NaN,31.0082,NaN,NaN,7.00924,NaN,NaN,44.6496,NaN,NaN,9939.24,NaN
1,0,0,1,63,1,1,1,0,16,16,16,NaN,NaN,3740.13,23.5185,17.9221,5449,444,95.7727,0.8040,0.0010,16.1935,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.0950,1313.0180,2300.3420,0.5210,NaN,NaN,16.1798,NaN,NaN,5.77283,NaN,NaN,0.177761,NaN,NaN,3746.08
2,0,0,1,63,1,1,1,0,16,16,16,NaN,NaN,3721.76,22.7536,18.0457,5425,356,95.6760,0.7490,0.0010,16.0434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.4420,1308.8130,2281.7180,0.7890,NaN,NaN,16.031,NaN,NaN,5.50604,NaN,NaN,0.17678,NaN,NaN,3727.44
3,0,0,1,63,1,1,1,0,16,16,16,NaN,NaN,3757.86,23.321,17.9868,5425,381,95.8493,0.7390,0.0010,16.2471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.9700,1322.0990,2325.4700,0.7990,NaN,NaN,16.2343,NaN,NaN,5.66467,NaN,NaN,0.179885,NaN,NaN,3763.71
