run_id,use_det,use_seg,use_pose,batch_det,batch_seg,batch_pose,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,switches_per_s,idle_time_pct,run_time_s,avg_fps_det,avg_latency_det,max_latency_det,activation_det,avg_fps_seg,avg_latency_seg,max_latency_seg,activation_seg,avg_fps_pose,avg_latency_pose,max_latency_pose,activation_pose,total_time_det_s,total_time_seg_s,total_time_pose_s,avg_preprocess_ms,postprocess_ms_det,postprocess_ms_seg,postprocess_ms_pose,total_time_ms_det,total_time_ms_seg,total_time_ms_pose
2,1,1,1,48,63,63,1,1,1,0,15,15,15,4486.8,11612.3,5796.8,48.7296,45.4536,14427,12471,76.4135,0.5610,0.0010,47.6242,7.6920,608.3880,1507.0020,1.0770,10.0950,2207.9400,5452.3180,0.9110,10.0950,1234.6370,2580.2680,2.2750,30.1982,47.4437,29.7136,5.36749,0.0212856,44.5951,0.232618,4492.19,11662.2,5802.4
3,1,1,1,48,63,63,1,1,1,0,15,15,15,4440.07,11647.8,5814.23,48.3632,46.1936,14088,13455,78.6210,0.5210,0.0020,47.697,7.6980,584.9490,1490.3070,1.3100,9.9030,2200.1220,5203.6640,0.6120,10.1440,1234.0210,2657.3070,1.7650,29.8783,47.5138,29.7517,5.40977,0.0255546,44.7921,0.227761,4445.51,11698,5819.87
1,1,1,1,63,1,1,1,1,1,0,15,15,15,1074.3,1099.91,469.274,42.6201,36.5429,14833,10720,62.1094,11.1040,0.0050,53.4248,26.0390,271.3490,761.7540,0.9940,5.3390,38.3530,81.4370,0.6690,5.3390,25.0180,82.4240,0.6620,6.69293,53.233,31.5459,5.33284,0.024454,43.7965,0.227337,1079.66,1149.04,474.834
2,1,1,1,63,1,1,1,1,1,0,15,15,15,1074.24,1099.35,473.253,42.6705,36.5912,15052,9894,63.0142,10.9610,0.0020,53.4259,26.0650,259.2820,759.9210,1.0040,5.2670,36.5520,97.2150,0.6990,5.2290,26.7830,87.9990,0.7300,6.64513,53.2476,32.0197,5.41095,0.0205006,43.5569,0.234121,1079.67,1148.32,478.899
3,1,1,1,63,1,1,1,1,1,0,15,15,15,1104.14,1099.39,468.463,43.2778,36.5569,15047,10860,61.3223,10.9180,0.0010,53.3858,26.1490,271.7040,766.6770,1.4320,5.2450,36.9620,64.3650,0.6710,5.2070,24.1650,106.8260,0.7980,6.80976,53.208,31.6238,5.42933,0.0192425,43.8227,0.223713,1109.59,1148.64,474.116
1,1,1,1,63,1,16,1,1,1,0,15,15,15,2469.59,1201.3,1605.9,39.9158,37.0455,15259,9327,60.5337,1.9800,0.0010,57.9534,26.1280,467.7320,1609.7780,1.0170,0.7760,46.8270,134.9570,0.8860,12.3460,395.6180,968.9680,0.9060,15.2844,57.7756,28.1224,5.37969,0.0220623,42.0493,0.216502,2474.99,1248.73,1611.49
2,1,1,1,63,1,16,1,1,1,0,15,15,15,2345.11,1205.57,1608.5,40,36.4475,15283,10149,60.1418,2.0220,0.0020,58.0879,26.1690,430.2310,1427.8100,0.8150,0.7780,44.6360,132.7560,1.0470,12.5600,379.7660,960.5270,0.7230,14.5912,57.9031,28.0843,5.43927,0.0186559,42.1851,0.21552,2350.57,1253.19,1614.15
3,1,1,1,63,1,16,1,1,1,0,15,15,15,2331.79,1200.94,1616.9,39.8178,37.3921,15201,8751,60.8749,2.0570,0.0060,57.8823,26.1190,435.5960,1569.7410,0.8600,0.8150,44.6790,180.5800,1.2940,12.5750,387.1270,999.6800,0.8180,14.6032,57.7054,28.1558,5.35976,0.0189029,42.1132,0.207336,2337.17,1248.42,1622.47
1,1,1,1,63,1,32,1,1,1,0,15,15,15,4392.4,1215.05,2977.5,39.5117,38.378,15250,8338,61.0428,1.3240,0.0010,58.2992,24.7200,644.2470,2262.2510,0.7890,0.4280,36.9880,64.5560,1.3950,13.7030,557.1460,2064.6320,1.0040,25.8035,58.119,27.9144,5.31886,0.0160462,41.7416,0.205718,4397.74,1262.11,2983.03
2,1,1,1,63,1,32,1,1,1,0,15,15,15,4048.57,1216.08,2980.84,39.4995,38.6948,15280,8303,60.9682,1.2900,0.0120,58.2537,26.3180,616.8450,1999.9480,1.0310,0.4300,36.8550,92.0070,1.0370,12.5920,563.2380,1905.4550,0.6870,25.1129,58.0667,27.6847,5.43726,0.0202452,41.6899,0.204321,4054.02,1263.21,2986.48
3,1,1,1,63,1,32,1,1,1,0,15,15,15,4403.19,1214.64,3013.3,39.2109,38.4571,15141,9472,61.0865,1.2900,0.0010,58.2995,24.9380,639.7300,2219.2580,0.8570,0.4300,38.7850,79.4370,1.0780,13.7590,571.5730,1997.0730,1.0650,25.8147,58.1224,27.9121,5.34294,0.0155358,42.0144,0.207083,4408.55,1261.99,3018.85
1,1,1,1,63,1,48,1,1,1,0,15,15,15,5207.43,1223.38,4248.96,39.4932,39.4457,15012,8925,60.7702,0.9780,0.0140,58.3362,19.7130,683.0130,2499.0330,1.0160,0.3130,40.6030,78.6350,0.9320,16.3880,792.8190,2650.5660,1.1770,26.4111,58.1398,27.3445,5.32818,0.0185946,41.4197,0.205072,5212.78,1270.13,4254.49
2,1,1,1,63,1,48,1,1,1,0,15,15,15,5200.19,1225.47,4202.89,39.7994,39.6216,14952,9325,60.5444,1.0200,0.0020,58.3367,19.7660,672.3660,2406.0640,1.2470,0.3530,35.3800,66.7240,0.9610,16.8250,805.9670,2954.4340,1.2060,26.3186,58.1586,27.2343,5.43248,0.0183446,41.6224,0.190581,5205.64,1272.52,4208.52
3,1,1,1,63,1,48,1,1,1,0,15,15,15,5197.01,1220.61,4225.24,39.5001,38.987,14972,9240,60.6454,1.0220,0.0020,58.1627,19.8120,679.5910,2372.5530,1.5470,0.3540,46.9600,121.3570,1.1690,16.5100,786.0470,2788.4630,0.9070,26.345,57.9817,27.2894,5.43465,0.0182485,41.3774,0.203639,5202.46,1267.42,4230.87
1,1,1,1,63,1,63,1,1,1,0,15,15,15,5258.54,1220.01,5342.87,39.1739,40.5561,14835,9555,60.9565,0.9050,0.0090,58.0825,17.3530,710.6330,2440.8870,1.3850,0.3150,38.7040,88.5680,1.1670,18.4540,921.4230,3399.4680,0.9680,26.7125,57.9051,26.9925,5.33421,0.0214539,41.251,0.195791,5263.89,1266.6,5348.4
2,1,1,1,63,1,63,1,1,1,0,15,15,15,5261.94,1222.88,5371.13,39.0353,40.6585,14985,8873,60.6882,0.8660,0.0070,58.2252,17.3500,702.0790,2497.9980,1.1660,0.2750,51.5120,80.4310,1.3510,18.3330,916.2150,3451.4410,0.8780,26.7277,58.0403,27.0499,5.43293,0.0180073,41.1334,0.194254,5267.39,1269.44,5376.76
3,1,1,1,63,1,63,1,1,1,0,15,15,15,5255.33,1219.63,5389.5,39.3248,40.3853,14861,8930,60.6154,0.8660,0.0020,58.0841,17.3490,707.4590,2523.1270,1.3590,0.2750,42.8250,78.7820,0.9440,18.5690,916.9590,3255.9360,0.8600,26.6938,57.9054,27.0231,5.32085,0.0213197,41.1429,0.203471,5260.67,1266.09,5395.02
1,1,1,1,63,16,1,1,1,1,0,15,15,15,3071.45,3657.22,485.198,47.3739,37.9201,15114,11941,72.4015,1.5930,0.0020,49.0636,26.1420,520.4640,1426.7790,0.8250,8.8950,664.1350,1629.4100,1.2770,0.5830,46.3320,122.7570,1.6130,18.5974,48.8788,32.9761,5.3085,0.0186697,44.896,0.231977,3076.78,3707.43,490.739
