# epoch_wall_clock_ns=1788137895756038078
model,frame_idx,phase,begin_us,end_us,dur_ms,enqueue_ms,ok
det,168,prep,6270359.021,6278424.878,8.066,,1
det,168,infer,6278427.323,6307236.182,28.809,0.141,1
det,169,prep,6307315.868,6313462.225,6.146,,1
det,169,infer,6313465.096,6340883.385,27.418,0.165,1
det,170,prep,6340992.572,6344912.610,3.920,,1
det,170,infer,6344915.055,6374465.125,29.550,0.156,1
det,171,prep,6374478.162,6377681.379,3.203,,1
det,171,infer,6377682.972,6405182.522,27.500,0.148,1
det,172,prep,6405196.689,6410482.185,5.285,,1
det,172,infer,6410484.000,6437473.730,26.990,0.157,1
det,173,prep,6437586.732,6444455.411,6.869,,1
det,173,infer,6444459.059,6471084.322,26.625,0.185,1
det,174,prep,6471201.509,6477613.091,6.412,,1
det,174,infer,6477615.554,6503348.475,25.733,0.171,1
det,175,prep,6503451.032,6510179.006,6.728,,1
det,175,infer,6510181.709,6536518.174,26.336,0.154,1
det,176,prep,6536623.286,6540520.880,3.898,,1
det,176,infer,6540523.732,6563067.418,22.544,0.182,1
det,177,prep,6563169.252,6571131.924,7.963,,1
det,177,infer,6571134.257,6594239.745,23.105,0.161,1
det,178,prep,6594335.394,6600201.971,5.867,,1
det,178,infer,6600203.878,6640408.869,40.205,0.159,1
det,179,prep,6640522.759,6645949.294,5.427,,1
det,179,infer,6645951.535,6667536.526,21.585,0.171,1
det,180,prep,6667553.211,6673767.458,6.214,,1
det,180,infer,6673770.014,6698801.076,25.031,0.171,1
det,181,prep,6698898.448,6705677.015,6.779,,1
det,181,infer,6705679.496,6729033.246,23.354,0.168,1
det,182,prep,6729124.877,6734507.041,5.382,,1
det,182,infer,6734510.115,6759926.515,25.416,0.161,1
det,183,prep,6759939.182,6768730.194,8.791,,1
det,183,infer,6768733.583,6791959.276,23.226,0.166,1
det,184,prep,6792065.296,6797453.479,5.388,,1
det,184,infer,6797455.905,6826427.691,28.972,0.167,1
det,185,prep,6826530.489,6833033.090,6.503,,1
det,185,infer,6833035.516,6858418.638,25.383,0.160,1
det,186,prep,6858507.157,6864679.978,6.173,,1
det,186,infer,6864682.978,6890058.599,25.376,0.161,1
det,187,prep,6890158.822,6895849.268,5.690,,1
det,187,infer,6895851.731,6921288.816,25.437,0.160,1
det,188,prep,6921380.965,6926193.846,4.813,,1
det,188,infer,6926196.642,6954292.679,28.096,0.159,1
det,189,prep,6954304.828,6961067.524,6.763,,1
det,189,infer,6961069.469,6984224.642,23.155,0.165,1
det,190,prep,6984358.477,6993691.347,9.333,,1
det,190,infer,6993693.958,7020952.117,27.258,0.171,1
det,191,prep,7021044.303,7024955.120,3.911,,1
det,191,infer,7024957.360,7050397.686,25.440,0.152,1
det,192,prep,7050407.149,7059393.942,8.987,,1
det,192,infer,7059396.368,7085460.570,26.064,0.159,1
det,193,prep,7085582.201,7090461.694,4.879,,1
det,193,infer,7090464.120,7118111.708,27.648,0.159,1
det,194,prep,7118335.877,7126672.923,8.337,,1
det,194,infer,7126675.738,7150628.438,23.953,0.169,1
det,195,prep,7150748.457,7156182.178,5.434,,1
det,195,infer,7156185.011,7182540.142,26.355,0.162,1
det,196,prep,7182550.087,7190557.092,8.007,,1
det,196,infer,7190559.740,7216228.179,25.668,0.164,1
det,197,prep,7216345.977,7222353.333,6.007,,1
det,197,infer,7222355.796,7256680.469,34.325,0.161,1
det,198,prep,7256796.711,7260547.988,3.751,,1
det,198,infer,7260550.396,7284371.168,23.821,0.162,1
det,199,prep,7284385.520,7291021.289,6.636,,1
det,199,infer,7291023.901,7313793.422,22.770,0.163,1
det,200,prep,7313892.589,7319770.518,5.878,,1
det,200,infer,7319772.703,7341255.137,21.482,0.161,1
det,201,prep,7341340.583,7346378.021,5.037,,1
det,201,infer,7346380.392,7374343.483,27.963,0.163,1
