run_id,use_det,use_seg,use_pose,batch,threshold,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent
2,0,1,1,1,1,0,None,15,15,None,83.943907,83.575885,11.0874,12.3933,94991,0,97.9147
3,0,1,1,1,1,0,None,15,15,None,83.955839,83.605834,11.1385,12.352,94988,0,97.9043
1,0,1,1,1,1,0,None,15,31,None,83.953412,83.512965,11.074,12.356,94982,0,97.9015
2,0,1,1,1,1,0,None,15,31,None,83.860063,83.539855,11.1166,12.4669,94985,0,97.9209
3,0,1,1,1,1,0,None,15,31,None,83.853880,83.537136,11.1235,12.3871,94995,0,97.9198
1,0,1,1,1,1,0,None,31,0,None,83.934237,83.601107,11.1333,12.3429,94990,0,97.9069
2,0,1,1,1,1,0,None,31,0,None,83.913583,83.544807,11.0542,12.4805,94977,0,97.9391
3,0,1,1,1,1,0,None,31,0,None,84.103230,83.500425,10.8021,12.4632,94982,0,97.9337
1,0,1,1,1,1,0,None,31,15,None,84.011840,83.627109,11.1716,12.434,94987,0,97.9062
2,0,1,1,1,1,0,None,31,15,None,83.963779,83.480391,11.2109,12.3633,94982,0,97.8978
3,0,1,1,1,1,0,None,31,15,None,83.952003,83.564921,11.1246,12.4858,94991,0,97.8945
1,0,1,1,1,1,0,None,31,31,None,83.968017,83.473892,11.2317,12.4003,94987,0,97.8938
2,0,1,1,1,1,0,None,31,31,None,83.840709,83.520062,11.1478,12.4219,94989,0,97.9122
3,0,1,1,1,1,0,None,31,31,None,83.932186,83.647608,10.8936,12.4559,94981,0,97.9029
1,1,1,1,1,1,0,0,0,0,122.411293,122.901900,122.534153,11.2831,13.1186,110337,0,97.9041
2,1,1,1,1,1,0,0,0,0,122.366013,122.893539,122.599355,11.2719,13.0438,110320,0,97.9224
3,1,1,1,1,1,0,0,0,0,122.366615,123.107188,122.566859,10.9564,13.0271,110362,0,97.9621
1,1,1,1,1,1,0,0,0,15,122.501919,122.954595,77.272837,11.2198,12.9104,110345,0,97.8973
2,1,1,1,1,1,0,0,0,15,122.448744,122.990825,77.250644,11.2183,12.9217,110389,0,97.9116
3,1,1,1,1,1,0,0,0,15,122.505154,123.053414,77.253626,11.234,12.9976,110412,0,97.9192
1,1,1,1,1,1,0,0,0,31,122.513285,123.180907,77.201858,10.9735,12.9047,110591,0,97.9335
2,1,1,1,1,1,0,0,0,31,122.511778,123.064796,77.291530,11.2798,13.1351,110328,0,97.8707
3,1,1,1,1,1,0,0,0,31,122.476955,123.056121,77.384575,10.8854,12.9509,110524,0,97.9507
1,1,1,1,1,1,0,0,15,0,122.420210,83.942976,122.461898,11.1917,12.9024,110339,0,97.9304
2,1,1,1,1,1,0,0,15,0,122.384990,83.890575,122.507978,11.3258,12.9302,110612,0,97.9370
3,1,1,1,1,1,0,0,15,0,122.373943,83.980120,122.489746,11.1811,12.9026,110330,0,97.9638
1,1,1,1,1,1,0,0,15,15,126.820227,84.088052,83.569364,10.7901,13.0394,110753,0,89.6451
2,1,1,1,1,1,0,0,15,15,126.873975,84.063248,83.647101,10.8921,12.9967,110887,0,89.5253
3,1,1,1,1,1,0,0,15,15,126.768604,84.164147,83.596278,10.5296,12.9468,110686,0,89.6763
1,1,1,1,1,1,0,0,15,31,126.775178,84.001168,83.570804,10.8858,12.9638,111497,0,89.6538
2,1,1,1,1,1,0,0,15,31,126.804847,84.048649,83.549957,10.8044,12.8488,110520,0,89.6302
3,1,1,1,1,1,0,0,15,31,126.766293,84.082893,83.602072,10.84,12.9121,110861,0,89.6484
1,1,1,1,1,1,0,0,31,0,122.324878,83.985049,122.532089,11.1124,12.9515,110599,0,97.9563
2,1,1,1,1,1,0,0,31,0,122.368691,84.002213,122.475982,11.2139,13.0748,110292,0,97.9389
3,1,1,1,1,1,0,0,31,0,122.422120,83.971256,122.502233,11.2644,12.9119,110524,0,97.9296
1,1,1,1,1,1,0,0,31,15,126.862282,84.059390,83.570470,10.8556,12.979,110753,0,89.5275
2,1,1,1,1,1,0,0,31,15,126.737277,83.905239,83.725959,10.711,12.9439,111090,0,89.5854
3,1,1,1,1,1,0,0,31,15,126.778354,84.029415,83.620067,10.9014,12.8852,110930,0,89.6106
1,1,1,1,1,1,0,0,31,31,126.810552,84.069000,83.513344,10.8285,12.9032,110759,0,89.5903
2,1,1,1,1,1,0,0,31,31,126.780844,84.000706,83.589397,10.8441,12.9462,111352,0,89.6105
3,1,1,1,1,1,0,0,31,31,126.719258,83.981262,83.605486,10.8143,12.9011,110636,0,89.6013
1,1,1,1,1,1,0,15,0,0,77.069896,122.903234,122.430942,11.2774,12.967,110451,0,97.9224
2,1,1,1,1,1,0,15,0,0,77.069332,122.896368,122.442553,11.2521,13.0948,110548,0,97.9364
3,1,1,1,1,1,0,15,0,0,76.999335,122.845675,122.355739,11.2584,12.9069,110685,0,97.9679
1,1,1,1,1,1,0,15,0,15,70.807261,120.141771,70.891312,11.3614,13.077,110600,0,98.5520
2,1,1,1,1,1,0,15,0,15,70.709274,120.278027,70.787735,11.2048,12.9185,110977,0,98.5609
3,1,1,1,1,1,0,15,0,15,70.716609,120.235153,70.853337,11.2763,13.0516,110708,0,98.5581
1,1,1,1,1,1,0,15,0,31,70.782297,120.204948,70.971189,10.9986,12.9541,110839,0,98.5736
2,1,1,1,1,1,0,15,0,31,70.767685,120.225583,70.846284,11.2257,12.9491,111047,0,98.5676
3,1,1,1,1,1,0,15,0,31,70.763398,120.249955,70.863697,11.1732,13.0381,110751,0,98.5535
1,1,1,1,1,1,0,15,15,0,83.343079,83.865989,119.966625,11.3418,13.0672,111144,0,98.5419
2,1,1,1,1,1,0,15,15,0,83.368907,83.933934,120.023101,11.2693,13.0616,110535,0,98.5229
3,1,1,1,1,1,0,15,15,0,83.356218,83.885871,120.043690,11.3905,13.0567,110726,0,98.5247
1,1,1,1,1,1,0,15,15,15,122.367050,122.921796,122.567607,11.2923,13.0119,110358,0,97.9067
