use_det,use_seg,use_pose,batch,threshold,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,context_switches,npu_percent,hrtt_networks,hrtt_switches_per_sec,hrtt_idle_time_pct,hrtt_run_time_sec,det_avg_fps,det_device_usage_pct,det_sched_threshold_pct,det_sched_timeout_pct,det_sched_idle_pct,det_avg_latency_ms,det_max_latency_ms,det_activation_ms,det_deactivation_ms,seg_avg_fps,seg_device_usage_pct,seg_sched_threshold_pct,seg_sched_timeout_pct,seg_sched_idle_pct,seg_avg_latency_ms,seg_max_latency_ms,seg_activation_ms,seg_deactivation_ms,pose_avg_fps,pose_device_usage_pct,pose_sched_threshold_pct,pose_sched_timeout_pct,pose_sched_idle_pct,pose_avg_latency_ms,pose_max_latency_ms,pose_activation_ms,pose_deactivation_ms,
0,1,1,1,1,0,None,15,15,None,83.631658,83.085386,12.4518,12.3621,1488826,97.8825,2,19.404,0.003,29.736,,,,,,,,,,9.685,55.756,100.0,100.0,0.0,43.544,50.433,0.578,0,9.685,44.241,100.0,100.0,0.0,32.171,34.773,0.58,0,
0,1,1,1,1,0,None,15,31,None,83.548393,83.125966,12.4956,12.2181,1490673,97.8847,2,19.381,0.001,29.72,,,,,,,,,,9.69,55.863,100.0,100.0,0.0,43.598,50.47,0.58,0,9.657,44.136,100.0,100.0,0.0,32.299,35.262,0.581,0,
0,1,1,1,1,0,None,31,0,None,83.622616,83.115662,12.5053,12.2892,1488219,97.9088,2,19.271,0.001,29.734,,,,,,,,,,9.619,55.703,100.0,100.0,0.0,43.948,50.354,0.582,0,9.652,44.296,100.0,100.0,0.0,32.395,35.231,0.576,0,
0,1,1,1,1,0,None,31,15,None,83.653867,83.054085,12.4233,12.3132,1490138,97.9028,2,19.377,0.001,29.725,,,,,,,,,,9.655,55.633,100.0,100.0,0.0,43.589,50.364,0.586,0,9.689,44.366,100.0,100.0,0.0,32.207,34.792,0.579,0,
0,1,1,1,1,0,None,31,31,None,83.437038,83.071854,12.2542,12.4137,1490640,97.9296,2,19.47,0.001,29.738,,,,,,,,,,9.718,55.803,100.0,100.0,0.0,43.471,50.316,0.578,0,9.718,44.197,100.0,100.0,0.0,32.133,34.851,0.579,0,
1,1,1,1,1,0,0,0,0,121.943128,122.41785,122.029912,12.5877,13.0326,1991511,97.9194,3,20.673,0.001,29.604,6.891,29.124,100.0,100.0,0.0,33.056,34.593,0.574,0,6.891,39.566,100.0,100.0,0.0,43.41,49.271,0.588,0,6.891,31.309,100.0,100.0,0.0,32.271,34.763,0.565,0,
1,1,1,1,1,0,0,0,15,122.113975,122.628284,76.792954,12.6719,12.8253,1969621,97.8918,3,20.808,0.001,29.603,5.202,22.077,100.0,100.0,0.0,33.241,34.907,0.554,0,5.168,29.959,100.0,100.0,0.0,43.566,50.759,0.589,0,10.404,47.963,100.0,100.0,0.0,32.242,35.049,0.584,0,
1,1,1,1,1,0,0,0,31,122.118873,122.698916,76.804133,12.5125,13.0587,2007467,97.92,3,20.746,0.001,29.596,5.203,22.202,100.0,100.0,0.0,33.171,35.322,0.544,0,5.17,29.996,100.0,100.0,0.0,43.732,50.429,0.582,0,10.339,47.802,100.0,100.0,0.0,32.276,34.882,0.582,0,
1,1,1,1,1,0,0,15,0,122.034976,83.677836,122.144015,12.259,12.9193,1979227,97.9412,3,19.698,0.001,29.597,4.933,20.904,100.0,100.0,0.0,33.157,35.026,0.549,0,9.832,56.734,100.0,100.0,0.0,43.414,49.743,0.594,0,4.899,22.362,100.0,100.0,0.0,32.281,34.672,0.58,0,
1,1,1,1,1,0,0,15,15,126.851311,83.627311,83.166308,12.1938,12.8492,1946721,89.2672,3,19.18,0.002,29.614,0.034,0.131,100.0,100.0,0.0,32.698,32.698,0.524,0,9.59,55.738,100.0,100.0,0.0,43.77,50.788,0.575,0,9.556,44.129,100.0,100.0,0.0,32.358,35.028,0.572,0,
