run_id,use_det,use_seg,use_pose,batch,threshold,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent
3,0,1,1,1,1,0,None,0,15,None,86.152474,85.127549,12.1367,12.4737,1902,195,93.5837
1,0,1,1,1,1,0,None,0,31,None,86.304127,85.340487,12.2482,12.6031,1903,199,93.6275
2,0,1,1,1,1,0,None,0,31,None,85.778918,85.746119,12.1741,12.5682,1902,225,93.3950
3,0,1,1,1,1,0,None,0,31,None,86.049344,85.154519,11.9914,12.2886,1902,190,93.3600
1,0,1,1,1,1,0,None,15,0,None,85.748232,85.732898,12.6582,12.5395,1904,204,93.5113
2,0,1,1,1,1,0,None,15,0,None,86.188284,85.203113,12.3722,12.4023,1901,216,93.5687
3,0,1,1,1,1,0,None,15,0,None,85.678647,85.755166,12.3085,12.2235,1902,199,93.4200
1,0,1,1,1,1,0,None,15,15,None,85.704882,85.696875,12.8205,12.4392,1901,184,93.6038
2,0,1,1,1,1,0,None,15,15,None,85.703887,85.685913,12.069,12.2698,1905,228,93.3700
3,0,1,1,1,1,0,None,15,15,None,85.661520,85.626917,12.2911,12.5155,1903,194,93.7188
1,0,1,1,1,1,0,None,15,31,None,86.210525,85.181773,12.6916,12.3778,1903,219,93.3388
2,0,1,1,1,1,0,None,15,31,None,86.147791,85.146063,12.4092,12.6191,1903,221,93.3925
3,0,1,1,1,1,0,None,15,31,None,85.837756,85.750608,12.806,12.2837,1902,218,93.5500
1,0,1,1,1,1,0,None,31,0,None,86.184072,85.243976,12.4595,12.5719,1902,215,93.4975
2,0,1,1,1,1,0,None,31,0,None,85.706498,85.872162,11.874,12.6188,1903,208,93.3925
3,0,1,1,1,1,0,None,31,0,None,85.647419,85.574870,12.2746,12.52,1902,216,93.6100
1,0,1,1,1,1,0,None,31,15,None,85.812274,85.696461,12.3589,12.3522,1901,215,93.6450
2,0,1,1,1,1,0,None,31,15,None,86.409577,85.166350,12.0602,12.569,1904,183,93.4412
3,0,1,1,1,1,0,None,31,15,None,86.051857,85.077414,12.0755,12.6593,1902,211,93.5487
1,0,1,1,1,1,0,None,31,31,None,86.187855,85.204419,12.3221,12.6399,1903,230,93.3987
2,0,1,1,1,1,0,None,31,31,None,85.676270,85.657848,12.0518,12.5058,1904,181,93.6725
3,0,1,1,1,1,0,None,31,31,None,85.718001,85.628904,12.3925,12.4168,1901,203,93.6475
1,1,1,1,1,1,0,0,0,0,126.945876,126.746346,126.697783,13.3309,13.1466,2298,404,93.0150
2,1,1,1,1,1,0,0,0,0,126.376703,127.351426,126.311461,13.0995,13.1724,2292,424,92.9683
3,1,1,1,1,1,0,0,0,0,126.418278,127.606165,126.200391,13.1643,13.2223,2287,418,92.9508
1,1,1,1,1,1,0,0,0,15,126.003452,126.981094,78.574101,13.2072,13.0944,2293,456,92.6033
