run_id,use_det,use_seg,use_pose,batch,threshold_det,threshold_seg,threshold_pose,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent,switches_per_s,idle_time_pct,run_time_s,avg_fps_det,avg_latency_det,max_latency_det,activation_det,avg_fps_seg,avg_latency_seg,max_latency_seg,activation_seg,avg_fps_pose,avg_latency_pose,max_latency_pose,activation_pose
1,1,1,1,1,15.0,15.0,15.0,0,15.0,15.0,15.0,126.585582,126.812647,126.7183,13.1524,12.9913,15016,2813,96.2878,20.631,6.47,29.568,6.866,40.097,46.837,116.758,6.866,55.264,69.852,120.872,6.866,43.054,52.547,115.868
2,1,1,1,1,15.0,15.0,15.0,0,15.0,15.0,15.0,126.574139,127.102398,126.640163,12.741,13.0068,15049,2711,96.4453,20.683,6.165,29.59,6.894,40.2,47.314,117.518,6.86,55.259,66.399,120.448,6.894,43.094,53.187,115.934
3,1,1,1,1,15.0,15.0,15.0,0,15.0,15.0,15.0,126.106162,126.595619,126.385317,13.0374,12.9725,15071,2919,96.3552,20.786,6.202,29.587,6.929,40.044,46.4,118.62,6.895,55.052,66.014,122.015,6.929,42.712,52.413,119.181
1,1,1,1,1,15.0,15.0,31.0,0,15.0,15.0,31.0,126.948675,127.715143,82.488294,12.7282,13.0686,14983,2821,96.2339,20.763,6.719,29.572,5.174,40.412,47.172,83.855,5.208,55.639,68.451,89.084,10.348,43.389,54.734,178.398
2,1,1,1,1,15.0,15.0,31.0,0,15.0,15.0,31.0,126.945988,127.330825,81.696096,13.2953,13.0125,15007,2939,96.2012,20.93,6.521,29.575,5.241,40.199,46.528,85.877,5.207,55.378,66.765,89.58,10.448,43.144,53.39,181.517
3,1,1,1,1,15.0,15.0,31.0,0,15.0,15.0,31.0,127.058642,127.869851,81.854383,13.1576,12.9127,14982,2810,96.244,20.828,6.78,29.575,5.207,40.339,50.18,84.876,5.173,55.382,68.177,90.172,10.414,43.273,54.755,179.581
1,1,1,1,1,15.0,31.0,15.0,0,15.0,31.0,15.0,126.614513,88.195108,126.696032,12.6786,13.0017,15000,2880,96.4353,19.715,6.01,29.571,4.903,40.164,47.19,80.716,9.841,55.352,72.447,173.766,4.937,43.194,55.394,84.645
2,1,1,1,1,15.0,31.0,15.0,0,15.0,31.0,15.0,127.001241,88.357702,126.869892,12.7965,13.008,15006,2728,96.3709,19.649,6.283,29.569,4.904,40.336,49.61,78.829,9.807,55.341,70.683,171.238,4.904,43.155,52.829,83.814
3,1,1,1,1,15.0,31.0,15.0,0,15.0,31.0,15.0,125.983783,87.662979,126.10712,13.3632,13.0391,15010,3115,96.42,19.805,6.095,29.538,4.943,40.076,45.486,80.114,9.886,55.057,65.792,172.807,4.943,42.826,52.661,88.232
1,1,1,1,1,15,31,31,0,15.0,31.0,31.0,131.518188,89.236867,88.420060,11.6886,13.1047,14901,2883,88.6522,19.311,6.259,29.517,NaN,NaN,NaN,NaN,9.621,55.472,68.446,164.016,9.655,43.363,55.295,162.903
2,1,1,1,1,15,31,31,0,15.0,31.0,31.0,131.801725,88.854346,88.597035,12.2101,12.9658,15042,2885,88.5356,19.213,6.264,29.511,NaN,NaN,NaN,NaN,9.59,55.805,71.056,162.814,9.59,43.505,59.591,161.479
3,1,1,1,1,15,31,31,0,15.0,31.0,31.0,131.663558,88.644789,88.637608,11.7614,13.0636,14960,3105,88.4800,19.282,6.306,29.51,NaN,NaN,NaN,NaN,9.624,55.618,69.083,162.833,9.624,43.294,55.354,162.85
1,1,1,1,1,31.0,15.0,15.0,0,31.0,15.0,15.0,80.567386,126.29402,125.718089,12.4923,12.9901,15104,2733,96.5103,21.653,6.032,29.603,10.81,39.738,45.805,181.771,5.405,54.649,65.212,96.372,5.405,42.509,51.953,96.967
2,1,1,1,1,31.0,15.0,15.0,0,31.0,15.0,15.0,80.632937,126.364072,126.017244,13.2332,13.0437,15139,2987,96.2676,21.447,6.217,29.562,10.69,39.981,45.719,178.525,5.379,55.02,65.088,96.225,5.345,42.945,52.782,96.047
3,1,1,1,1,31.0,15.0,15.0,0,31.0,15.0,15.0,80.553483,126.36627,125.831294,13.45,13.0574,15148,3003,96.3729,21.494,6.083,29.589,10.713,40.06,45.904,178.888,5.374,54.913,65.613,95.428,5.374,42.787,52.081,95.822
1,1,1,1,1,31,15,31,0,31.0,15.0,31.0,74.848436,129.866761,74.928736,11.6098,13.0282,15159,2802,90.2565,22.989,6.558,29.493,11.46,39.885,47.153,191.755,0.034,49.675,49.675,1.96,11.46,42.812,52.734,203.256
2,1,1,1,1,31,15,31,0,31.0,15.0,31.0,74.792755,129.585060,75.087526,10.8621,12.953,15188,2651,90.6876,23.069,6.495,29.52,11.518,39.813,46.307,191.159,NaN,NaN,NaN,NaN,11.518,42.672,51.735,202.83
3,1,1,1,1,31,15,31,0,31.0,15.0,31.0,75.143965,130.314039,75.202154,12.4673,13.2212,15211,2823,90.2326,22.77,6.639,29.556,11.368,40.165,48.344,189.94,0.034,51.154,51.154,0.237,11.334,43.257,55.996,199.873
1,1,1,1,1,31,31,15,0,31.0,31.0,15.0,86.778658,86.934641,126.327559,12.2899,13.2263,15155,3066,90.9628,20.256,5.558,29.521,10.094,39.815,50.441,170.978,10.094,55.102,70.811,182.369,0.034,38.25,38.25,0.386
2,1,1,1,1,31,31,15,0,31.0,31.0,15.0,86.622454,86.169341,125.693299,10.9746,12.9736,15207,2892,91.2399,20.492,5.526,29.524,10.229,39.612,45.157,170.286,10.229,54.212,63.83,183.822,0.034,38.092,38.092,0.632
3,1,1,1,1,31,31,15,0,31.0,31.0,15.0,86.087941,86.631494,125.727329,11.2104,12.999,15124,2912,91.3188,20.512,5.284,29.543,10.222,39.596,45.169,172.825,10.222,54.402,65.546,183.686,0.034,38.145,38.145,0.435
1,1,1,1,1,31.0,31.0,31.0,0,31.0,31.0,31.0,126.810419,127.410217,126.904669,12.4239,12.899,15024,2707,96.3797,20.677,6.319,29.599,6.892,40.118,46.395,119.843,6.858,55.221,67.546,122.124,6.892,43.032,53.152,115.768
2,1,1,1,1,31.0,31.0,31.0,0,31.0,31.0,31.0,126.761651,127.015651,126.699915,12.4614,13.0389,15010,2763,96.3943,20.67,6.387,29.608,6.856,40.137,46.636,116.852,6.89,55.063,66.812,120.497,6.89,43.04,52.091,115.279
3,1,1,1,1,31.0,31.0,31.0,0,31.0,31.0,31.0,126.59663,127.11498,126.693247,12.3076,13.0785,15038,2806,96.3794,20.717,6.271,29.589,6.894,40.047,46.172,116.412,6.894,55.132,65.524,120.874,6.894,42.945,52.291,115.414
1,1,1,0,1,1.0,1.0,None,0,0.0,0.0,None,84.966733,86.564936,None,12.9783,11.3156,10368,1931,95.2514,20.315,5.558,29.042,10.158,39.708,47.205,168.62,10.123,54.932,68.188,180.303,None,None,None,None
2,1,1,0,1,1.0,1.0,None,0,0.0,0.0,None,86.303614,86.57941,None,12.9502,11.3216,9153,2241,96.2661,20.3,5.476,29.753,10.116,39.758,49.679,174.274,10.15,54.977,68.692,184.911,None,None,None,None
3,1,1,0,1,1.0,1.0,None,0,0.0,0.0,None,86.311169,86.647254,None,12.9146,11.3451,9136,2156,96.1894,20.31,5.503,29.738,10.155,39.72,45.809,174.169,10.122,54.992,71.682,186.406,None,None,None,None
1,1,1,0,1,1.0,15.0,None,0,0.0,15.0,None,86.36554,86.601149,None,13.2885,11.2629,9126,2184,96.1466,20.268,5.69,29.751,10.117,39.838,52.496,174.728,10.117,54.863,70.23,182.856,None,None,None,None
2,1,1,0,1,1.0,15.0,None,0,0.0,15.0,None,86.452573,86.746825,None,13.8964,11.3921,9098,2163,96.1232,20.263,5.583,29.759,10.115,39.718,45.652,173.229,10.115,55.113,68.742,185.157,None,None,None,None
3,1,1,0,1,1.0,15.0,None,0,0.0,15.0,None,86.503594,86.823102,None,13.6102,11.3151,9101,2229,96.1884,20.164,5.551,29.756,10.048,39.983,49.424,172.901,10.082,55.32,69.521,183.102,None,None,None,None
1,1,1,0,1,1.0,31.0,None,0,0.0,31.0,None,86.389913,86.645905,None,12.9474,11.3071,9097,2177,96.2603,20.267,5.63,29.753,10.116,39.803,46.464,175.12,10.116,54.963,67.614,182.639,None,None,None,None
2,1,1,0,1,1.0,31.0,None,0,0.0,31.0,None,86.256089,86.519,None,12.8101,11.3497,9079,2127,96.22,20.376,5.441,29.742,10.154,39.614,45.298,177.064,10.188,54.806,68.75,184.457,None,None,None,None
3,1,1,0,1,1.0,31.0,None,0,0.0,31.0,None,86.366312,86.395227,None,12.9884,11.3642,9152,2204,96.214,20.333,5.627,29.755,10.15,39.619,45.831,176.431,10.15,54.842,68.886,186.417,None,None,None,None
1,1,1,0,1,15.0,1.0,None,0,15.0,0.0,None,86.662798,86.996571,None,13.0253,11.4026,9084,2166,96.0568,20.133,5.589,29.752,10.083,39.924,46.762,172.086,10.05,55.38,68.356,180.55,None,None,None,None
2,1,1,0,1,15.0,1.0,None,0,15.0,0.0,None,86.520806,86.847819,None,13.6592,11.3673,9103,2196,96.1895,20.2,5.682,29.753,10.083,39.803,46.081,173.603,10.083,55.226,68.524,185.855,None,None,None,None
3,1,1,0,1,15.0,1.0,None,0,15.0,0.0,None,86.451424,86.669692,None,13.7034,11.3851,9114,2257,96.1879,20.264,5.539,29.757,10.115,39.846,55.911,175.791,10.115,55.02,72.842,184.08,None,None,None,None
1,1,1,0,1,31.0,1.0,None,0,31.0,0.0,None,86.460985,86.75968,None,13.4618,11.2835,9116,2208,96.159,20.2,5.675,29.753,10.083,39.847,47.016,173.281,10.083,55.189,70.177,184.106,None,None,None,None
2,1,1,0,1,31.0,1.0,None,0,31.0,0.0,None,86.28046,86.670766,None,12.9293,11.3399,9089,2249,96.2234,20.301,5.567,29.753,10.15,39.773,46.075,175.112,10.117,54.922,71.187,183.143,None,None,None,None
3,1,1,0,1,31.0,1.0,None,0,31.0,0.0,None,86.47288,86.672931,None,12.9778,11.307,9154,2177,96.1631,20.262,5.666,29.761,10.114,39.664,45.654,173.108,10.114,55.09,67.439,184.186,None,None,None,None
1,1,0,1,1,1.0,None,1.0,0,0.0,None,0.0,74.871187,None,74.764027,14.1435,11.1223,8454,2516,94.8287,22.799,6.602,29.519,11.382,40.066,48.22,193.193,None,None,None,None,11.382,43.307,56.383,201.693
2,1,0,1,1,1.0,None,1.0,0,0.0,None,0.0,75.253228,None,75.086086,14.2139,11.1491,8522,2511,94.9225,22.653,6.666,29.709,11.31,40.284,48.255,193.069,None,None,None,None,11.31,43.568,58.348,200.651
3,1,0,1,1,1.0,None,1.0,0,0.0,None,0.0,75.316363,None,75.189711,14.6777,11.1301,8535,2485,94.9818,22.586,6.828,29.709,11.276,40.25,48.677,192.438,None,None,None,None,11.276,43.708,56.966,200.858
1,1,0,1,1,1.0,None,15.0,0,0.0,None,15.0,75.457219,None,75.365133,15.1866,11.1307,8447,2406,94.8705,22.5,6.856,29.689,11.216,40.331,48.617,191.826,None,None,None,None,11.25,43.917,63.313,199.776
2,1,0,1,1,1.0,None,15.0,0,0.0,None,15.0,75.59706,None,75.537058,15.3966,11.1543,8489,2384,94.8207,22.425,6.889,29.7,11.179,40.58,54.258,189.55,None,None,None,None,11.212,43.924,61.058,199.256
3,1,0,1,1,1.0,None,15.0,0,0.0,None,15.0,75.33335,None,75.176082,14.137,11.1377,8506,2515,94.9451,22.587,6.932,29.708,11.276,40.263,48.303,191.457,None,None,None,None,11.276,43.6,57.772,200.024
1,1,0,1,1,1.0,None,31.0,0,0.0,None,31.0,75.218153,None,75.054316,14.1863,11.1771,8437,2498,94.9602,22.664,6.714,29.695,11.315,40.238,49.291,193.139,None,None,None,None,11.315,43.531,56.705,200.884
2,1,0,1,1,1.0,None,31.0,0,0.0,None,31.0,75.184611,None,75.126456,14.3817,11.1616,8529,2638,95.02,22.589,6.816,29.704,11.278,40.339,48.036,192.846,None,None,None,None,11.278,43.617,56.663,198.748
3,1,0,1,1,1.0,None,31.0,0,0.0,None,31.0,75.062677,None,74.941159,14.2825,11.0875,8495,2527,95.0473,22.724,6.682,29.704,11.345,40.162,48.005,192.781,None,None,None,None,11.345,43.414,56.752,203.873
1,1,0,1,1,15.0,None,1.0,0,15.0,None,0.0,74.997743,None,74.996684,14.5669,11.0513,8482,2523,95.014,22.741,6.662,29.682,11.354,40.079,47.606,192.819,None,None,None,None,11.354,43.452,58.04,202.841
2,1,0,1,1,15.0,None,1.0,0,15.0,None,0.0,75.321777,None,75.172531,14.9646,11.0328,8483,2342,94.9611,22.588,6.78,29.707,11.277,40.304,50.587,193.607,None,None,None,None,11.277,43.691,62.093,201.309
3,1,0,1,1,15.0,None,1.0,0,15.0,None,0.0,75.741987,None,75.542045,17.0093,11.0758,8431,2623,94.8591,22.318,6.976,29.707,11.142,40.645,59.976,188.642,None,None,None,None,11.142,44.191,63.288,203.313
1,1,0,1,1,31.0,None,1.0,0,31.0,None,0.0,75.33095,None,75.234947,14.5349,11.061,8444,2527,94.9371,22.589,6.786,29.704,11.278,40.286,49.415,191.302,None,None,None,None,11.278,43.697,58.794,200.861
2,1,0,1,1,31.0,None,1.0,0,31.0,None,0.0,75.073042,None,74.950743,14.1952,11.1178,8497,2642,95.1311,22.722,6.721,29.707,11.344,40.163,47.832,193.724,None,None,None,None,11.344,43.387,56.281,201.094
3,1,0,1,1,31.0,None,1.0,0,31.0,None,0.0,75.030866,None,74.902307,14.2517,11.1548,8512,2508,95.0358,22.757,6.614,29.705,11.345,40.072,47.299,194.192,None,None,None,None,11.378,43.437,56.433,203.849
1,0,1,1,1,None,1.0,1.0,0,None,0.0,0.0,None,88.950065,88.80422,13.6213,11.3637,12801,1718,95.7659,19.071,6.266,29.731,None,None,None,None,9.519,56.238,72.505,167.582,9.519,43.81,58.107,168.257
2,0,1,1,1,None,1.0,1.0,0,None,0.0,0.0,None,88.90193,88.666199,13.6232,11.3324,12797,1831,95.7331,19.096,6.474,29.745,None,None,None,None,9.548,56.064,72.496,167.853,9.514,43.615,57.96,169.087
3,0,1,1,1,None,1.0,1.0,0,None,0.0,0.0,None,89.273001,88.76264,14.2907,11.3499,12796,1742,95.6605,18.967,6.47,29.736,None,None,None,None,9.45,56.518,72.54,166.208,9.483,43.89,58.119,166.252
1,0,1,1,1,None,1.0,15.0,0,None,0.0,15.0,None,89.304857,88.901637,14.536,11.4269,12799,1856,95.5905,18.94,6.466,29.725,None,None,None,None,9.453,56.639,81.948,167.853,9.453,43.892,58.127,167.779
2,0,1,1,1,None,1.0,15.0,0,None,0.0,15.0,None,89.17671,88.86071,13.8978,11.3214,12802,1709,95.7025,19.033,6.389,29.737,None,None,None,None,9.517,56.315,75.42,166.118,9.483,43.781,58.424,167.301
3,0,1,1,1,None,1.0,15.0,0,None,0.0,15.0,None,89.144444,88.68671,13.5629,11.2881,12803,1673,95.7091,19.031,6.528,29.741,None,None,None,None,9.482,56.211,72.312,165.763,9.516,43.794,58.406,167.359
1,0,1,1,1,None,1.0,31.0,0,None,0.0,31.0,None,89.008524,88.681545,13.578,11.366,12803,1864,95.6358,19.097,6.282,29.743,None,None,None,None,9.515,56.122,72.83,166.687,9.549,43.794,58.938,167.329
2,0,1,1,1,None,1.0,31.0,0,None,0.0,31.0,None,88.999163,88.704259,13.7477,11.4051,12801,1767,95.7194,19.097,6.469,29.743,None,None,None,None,9.549,56.094,74.943,166.475,9.515,43.586,57.797,169.104
3,0,1,1,1,None,1.0,31.0,0,None,0.0,31.0,None,89.069084,88.641921,13.9615,11.4314,12806,1698,95.6734,19.067,6.453,29.737,None,None,None,None,9.517,56.169,73.272,166.382,9.517,43.706,57.956,167.952
1,0,1,1,1,None,15.0,1.0,0,None,15.0,0.0,None,89.254925,89.025603,14.4781,11.3525,12805,1764,95.59,18.946,6.506,29.716,None,None,None,None,9.456,56.438,72.44,164.651,9.456,44.02,62.746,164.89
2,0,1,1,1,None,15.0,1.0,0,None,15.0,0.0,None,89.210195,88.867392,14.3474,11.4177,12803,1720,95.6852,18.965,6.492,29.74,None,None,None,None,9.482,56.457,72.721,166.386,9.449,43.894,57.802,167.182
3,0,1,1,1,None,15.0,1.0,0,None,15.0,0.0,None,89.042927,88.689494,13.6218,11.3255,12803,1829,95.6716,19.031,6.54,29.74,None,None,None,None,9.482,56.244,73.071,167.421,9.516,43.748,57.565,168.389
1,0,1,1,1,None,31.0,1.0,0,None,31.0,0.0,None,88.980631,88.611915,13.5587,11.4524,12804,1816,95.7547,19.097,6.454,29.744,None,None,None,None,9.515,56.074,71.786,167.369,9.548,43.666,57.537,167.286
2,0,1,1,1,None,31.0,1.0,0,None,31.0,0.0,None,88.99656,88.513639,13.4725,11.3688,12803,1755,95.7309,19.136,6.317,29.735,None,None,None,None,9.551,56.142,74.467,168.162,9.551,43.515,60.775,167.866
3,0,1,1,1,None,31.0,1.0,0,None,31.0,0.0,None,89.482787,89.011527,13.684,11.3177,12799,1728,95.5202,18.862,6.634,29.743,None,None,None,None,9.414,56.676,72.964,165.028,9.414,44.094,57.938,164.856
1,1,1,1,1,1.0,1.0,1.0,0,0.0,0.0,0.0,127.060225,127.304818,127.076457,13.5384,11.939,15075,3323,96.234,20.325,6.492,29.619,6.752,40.426,54.381,117.492,6.786,56.249,77.577,118.814,6.752,43.745,57.805,117.17
2,1,1,1,1,1.0,1.0,1.0,0,0.0,0.0,0.0,127.344616,127.44245,127.32893,13.8893,11.9865,15079,3273,96.2062,20.192,6.623,29.616,6.719,40.702,52.507,117.037,6.719,56.506,72.453,117.279,6.719,43.992,56.965,117.637
3,1,1,1,1,1.0,1.0,1.0,0,0.0,0.0,0.0,126.919984,127.23979,127.037561,12.9706,11.8488,15149,3355,96.2491,20.361,6.463,29.615,6.753,40.32,48.223,117.926,6.787,56.206,71.88,118.421,6.787,43.699,56.615,116.67
1,1,1,1,1,1.0,1.0,15.0,0,0.0,0.0,15.0,127.795248,128.003416,82.452434,13.009,12.0326,15068,3325,96.015,20.458,6.918,29.621,5.098,40.54,50.442,84.455,5.131,56.591,73.757,89.98,10.195,44.016,58.277,179.238
2,1,1,1,1,1.0,1.0,15.0,0,0.0,0.0,15.0,127.711078,127.961207,82.248605,13.0756,11.9614,15010,3270,96.0606,20.493,6.925,29.619,5.132,40.502,49.159,86.359,5.098,56.464,72.302,89.234,10.23,43.994,57.389,180.332
