model_count,batch,use_det,use_seg,use_pose,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,total_time_det_s,total_time_seg_s,total_time_pose_s,avg_fps_det,avg_fps_seg,avg_fps_pose,avg_latency_det,avg_latency_seg,avg_latency_pose,npu_percent,switches_per_s,idle_time_pct,cpu_percent,mem_percent
2,50,0,1,1,0,15,31,,6349.823,3188.44,,35.521,17.277,,5.048,27.921,,2308.343,1134.885,97.233,0.775,0.002,14.274,34.302
2,50,0,1,1,0,31,0,,3754.073,6063.953,,20.164,35.163,,27.28,3.351,,1346.15,2128.894,98.815,0.73,0.002,14.576,34.357
2,50,0,1,1,0,31,15,,3771.393,6106.28,,20.428,35.404,,27.338,2.98,,1359.908,2293.191,98.667,0.718,0.002,14.429,34.411
2,50,0,1,1,0,31,31,,6268.767,5942.727,,35.585,35.087,,15.198,16.24,,1473.422,1322.997,98.545,0.731,0.002,14.693,34.345
2,50,1,0,1,0,0,0,5587.543,,5619.38,32.436,,32.856,18.761,,18.208,1041.141,,1268.447,98.864,0.821,0.001,15.168,32.657
2,50,1,0,1,0,0,15,5937.26,,3190.153,33.925,,17.327,8.073,,27.122,1368.089,,1130.674,99.017,0.806,0.001,16.046,32.671
2,50,1,0,1,0,0,31,5976.58,,3202.227,34.138,,17.422,7.868,,27.108,1381.176,,1137.09,98.99,0.792,0.002,16.079,32.702
2,50,1,0,1,15,0,0,2724.433,,5622.693,14.224,,31.457,27.085,,11.886,920.602,,1522.307,99.18,0.899,0.002,14.623,32.677
2,50,1,0,1,15,0,15,5532.223,,5640.863,32.487,,32.75,18.63,,18.073,1052.411,,1264.396,97.606,0.831,0.002,14.972,32.698
2,50,1,0,1,15,0,31,5936.15,,3206.937,33.917,,17.462,7.304,,27.388,1375.691,,1137.042,98.3,0.773,0.002,15.992,32.738
2,50,1,0,1,31,0,0,2732.99,,5603.607,14.284,,31.338,27.299,,11.663,919.895,,1517.916,98.544,0.892,0.002,14.64,32.705
2,50,1,0,1,31,0,15,2735.293,,5607.777,14.29,,31.346,27.52,,11.228,921.634,,1501.648,97.895,0.913,0.002,14.318,32.722
