model_count,batch,model,own_pri,max_other_pri,advantage,latency,total_time,fps,hrtt_lat,npu
2.0,1.0,pose,0.0,31.0,-31.0,680.719,49.108,0.901,179.079,99.0179
2.0,1.0,det,31.0,0.0,31.0,428.696,24.7718,26.35,284.679,99.0829
2.0,1.0,pose,0.0,31.0,-31.0,680.684,49.1071,0.901,169.487,99.0829
2.0,1.0,det,31.0,15.0,16.0,428.109,24.7364,26.352,284.744,99.0471
2.0,1.0,pose,15.0,31.0,-16.0,680.706,49.1072,0.901,178.838,99.0471
2.0,1.0,det,31.0,15.0,16.0,430.392,24.8798,26.389,284.717,99.0125
2.0,1.0,pose,15.0,31.0,-16.0,680.622,49.1064,0.863,145.506,99.0125
2.0,1.0,det,31.0,15.0,16.0,427.943,24.7346,26.777,284.789,98.2433
2.0,1.0,pose,15.0,31.0,-16.0,680.526,49.1064,0.477,100.469,98.2433
2.0,1.0,det,31.0,31.0,0.0,901.01,53.8011,11.991,32.403,95.8734
2.0,1.0,pose,31.0,31.0,0.0,743.185,53.7603,11.991,30.762,95.8734
2.0,1.0,det,31.0,31.0,0.0,901.169,53.8182,11.967,32.422,95.8792
2.0,1.0,pose,31.0,31.0,0.0,743.476,53.7781,12.006,30.801,95.8792
2.0,1.0,det,31.0,31.0,0.0,899.706,53.7241,12.017,32.389,94.9853
2.0,1.0,pose,31.0,31.0,0.0,743.221,53.76,11.977,30.769,94.9853
2.0,1.0,seg,0.0,0.0,0.0,871.351,62.3783,10.208,41.207,96.2428
2.0,1.0,pose,0.0,0.0,0.0,858.221,62.4167,10.208,30.736,96.2428
2.0,1.0,seg,0.0,0.0,0.0,871.243,62.3674,10.223,41.204,95.9144
2.0,1.0,pose,0.0,0.0,0.0,858.058,62.4056,10.184,30.711,95.9144
2.0,1.0,seg,0.0,0.0,0.0,872.039,62.4179,10.205,41.231,96.2362
2.0,1.0,pose,0.0,0.0,0.0,858.726,62.4576,10.166,30.702,96.2362
2.0,1.0,seg,0.0,15.0,-15.0,806.985,57.5004,0.973,262.256,99.4943
2.0,1.0,pose,15.0,0.0,15.0,355.402,24.432,26.195,276.157,99.4943
2.0,1.0,seg,0.0,15.0,-15.0,806.967,57.4956,1.011,267.178,99.5091
2.0,1.0,pose,15.0,0.0,15.0,355.436,24.429,26.17,276.352,99.5091
2.0,1.0,seg,0.0,15.0,-15.0,806.838,57.4987,0.518,166.335,98.4528
2.0,1.0,pose,15.0,0.0,15.0,355.376,24.4315,26.804,276.604,98.4528
2.0,1.0,seg,0.0,31.0,-31.0,806.975,57.5005,0.899,237.092,99.2389
2.0,1.0,pose,31.0,0.0,31.0,356.282,24.481,26.311,275.171,99.2389
2.0,1.0,seg,0.0,31.0,-31.0,806.956,57.4976,0.936,257.198,99.3543
2.0,1.0,pose,31.0,0.0,31.0,355.415,24.4332,26.244,276.427,99.3543
2.0,1.0,seg,0.0,31.0,-31.0,806.98,57.5011,0.899,252.569,99.2755
2.0,1.0,pose,31.0,0.0,31.0,355.432,24.4329,26.296,276.251,99.2755
2.0,1.0,seg,15.0,0.0,15.0,481.955,33.0538,20.355,376.859,99.2591
2.0,1.0,pose,0.0,15.0,-15.0,792.161,57.4625,,,99.2591
2.0,1.0,seg,15.0,0.0,15.0,482.294,33.0866,20.327,376.321,99.2971
2.0,1.0,pose,0.0,15.0,-15.0,792.154,57.4597,0.039,30.333,99.2971
2.0,1.0,seg,15.0,0.0,15.0,481.9,33.0543,20.354,377.744,99.3104
2.0,1.0,pose,0.0,15.0,-15.0,792.2,57.4633,,,99.3104
2.0,1.0,seg,15.0,15.0,0.0,870.943,62.3465,10.244,41.193,96.228
2.0,1.0,pose,15.0,15.0,0.0,857.778,62.3843,10.204,30.709,96.228
2.0,1.0,seg,15.0,15.0,0.0,871.521,62.3781,10.213,41.241,96.1902
2.0,1.0,pose,15.0,15.0,0.0,858.195,62.4161,10.213,30.721,96.1902
2.0,1.0,seg,15.0,15.0,0.0,870.925,62.3436,10.222,41.2,96.2772
2.0,1.0,pose,15.0,15.0,0.0,857.755,62.3818,10.222,30.741,96.2772
2.0,1.0,seg,15.0,31.0,-16.0,806.952,57.5006,0.899,237.906,99.3034
2.0,1.0,pose,31.0,15.0,16.0,356.148,24.4825,26.291,275.31,99.3034
2.0,1.0,seg,15.0,31.0,-16.0,806.857,57.4931,0.862,247.355,99.167
2.0,1.0,pose,31.0,15.0,16.0,355.422,24.4338,26.361,276.71,99.167
2.0,1.0,seg,15.0,31.0,-16.0,806.988,57.5013,0.899,237.36,99.2502
2.0,1.0,pose,31.0,15.0,16.0,356.15,24.4831,26.309,275.474,99.2502
2.0,1.0,seg,31.0,0.0,31.0,482.505,33.092,20.322,376.377,99.4127
2.0,1.0,pose,0.0,31.0,-31.0,792.214,57.4664,0.039,30.103,99.4127
2.0,1.0,seg,31.0,0.0,31.0,483.21,33.164,20.266,376.475,99.2543
2.0,1.0,pose,0.0,31.0,-31.0,792.268,57.4649,0.117,65.528,99.2543
2.0,1.0,seg,31.0,0.0,31.0,482.224,33.0898,20.325,376.521,99.2338
2.0,1.0,pose,0.0,31.0,-31.0,792.235,57.4656,0.039,30.541,99.2338
2.0,1.0,seg,31.0,15.0,16.0,481.968,33.0555,20.355,376.981,99.2432
2.0,1.0,pose,15.0,31.0,-16.0,792.244,57.4641,,,99.2432
2.0,1.0,seg,31.0,15.0,16.0,481.948,33.0542,20.355,376.944,99.3048
2.0,1.0,pose,15.0,31.0,-16.0,792.229,57.4634,,,99.3048
2.0,1.0,seg,31.0,15.0,16.0,481.883,33.0553,20.355,377.831,99.473
2.0,1.0,pose,15.0,31.0,-16.0,792.18,57.4647,,,99.473
2.0,1.0,seg,31.0,31.0,0.0,871.188,62.3645,10.215,41.187,96.2575
2.0,1.0,pose,31.0,31.0,0.0,858.103,62.4027,10.215,30.721,96.2575
2.0,1.0,seg,31.0,31.0,0.0,870.764,62.3326,10.233,41.157,96.3315
2.0,1.0,pose,31.0,31.0,0.0,857.646,62.3739,10.233,30.674,96.3315
2.0,1.0,seg,31.0,31.0,0.0,872.348,62.4484,10.177,41.281,96.1989
2.0,1.0,pose,31.0,31.0,0.0,858.025,62.3972,10.217,30.702,96.1989
2.0,10.0,det,0.0,0.0,0.0,1320.78,34.0685,18.053,193.472,95.4988
2.0,10.0,seg,0.0,0.0,0.0,1295.89,34.1157,17.778,273.555,95.4988
2.0,10.0,det,0.0,0.0,0.0,1334.05,34.2894,17.696,197.575,95.4842
2.0,10.0,seg,0.0,0.0,0.0,1299.25,34.2308,17.696,277.781,95.4842
2.0,10.0,det,0.0,0.0,0.0,1332.92,34.3657,17.66,196.964,95.5953
